gd,agd,agdo,tfocs,tfocso,tfocsf
3.9257525564E10,6.9156723336E10,6.746319355E10,4.5996660032E10,3.9807777951E10,4.3307716433E10
3.235435815E10,6.8392284963E10,6.7500239982E10,4.5044272545E10,3.9156121318E10,4.3827178357E10
3.1887887965E10,6.8401077853E10,6.7851446059E10,4.5153763819E10,3.9261777393E10,4.3678304053E10
3.1487905499E10,6.9039703969E10,6.751329303E10,4.5103506605E10,3.9784207094E10,4.3460639204E10
