gd,agd,agdo,tfocs,tfocso,tfocsf
5.3489443296E10,1.02699350972E11,9.971750996E10,7.1914097998E10,6.7348980789E10,6.9362779778E10
5.0260315254E10,9.8684001809E10,9.5956408442E10,6.7737804619E10,6.419008398E10,6.5678759526E10
4.9132889619E10,9.7722604171E10,9.5631947519E10,6.8073169458E10,6.4694036274E10,6.6793004112E10
4.9091282378E10,9.806829631E10,9.5234866242E10,7.9027214965E10,6.4761829607E10,8.3750176714E10
