gd,agd,agdo,tfocs,tfocso,tfocsf
1.8330528469E10,3.0781048646E10,2.7435909374E10,2.8546085144E10,2.4261290776E10,2.8558607568E10
1.3109885968E10,2.7435248897E10,2.674001359E10,2.856309946E10,2.4493496817E10,2.7967375713E10
1.2937521339E10,2.7641592438E10,2.6548498063E10,2.9005403697E10,2.3435696378E10,2.789571578E10
1.2846607935E10,2.78273904E10,2.7406035943E10,2.8371929606E10,2.4419178504E10,2.7949095429E10
